YR,COflows,COinflows
1762,18685303,0
1763,11133611,0
1764,16417513,0
1765,10443268,0
1766,14946122,0
1767,10951235,0
1768,20608650,0
1769,18784798,0
1770,14266815,0
1771,17742347,0
1772,11955456,0
1773,6337543,0
1774,12380829,0
1775,16047726,0
1776,13272704,0
1777,9760678,0
1778,11321330,0
1779,14354074,0
1780,12416602,0
1781,13213168,0
1782,11553847,0
1783,16535333,0
1784,19075777,0
1785,18081922,0
1786,10852814,0
1787,16328004,0
1788,13106051,0
1789,9856187,0
1790,18835738,0
1791,19580717,0
1792,19701256,0
1793,14344111,0
1794,13950021,0
1795,12960876,0
1796,15729694,0
1797,19171080,0
1798,7495455,0
1799,16000551,0
1800,16022144,0
1801,13799737,0
1802,17069178,0
1803,12347164,0
1804,10645306,0
1805,12229383,0
1806,11861776,0
1807,15258134,0
1808,14394148,0
1809,12683184,0
1810,13987168,0
1811,18994730,0
1812,17167571,0
1813,9346367,0
1814,11007162,0
1815,17256874,0
1816,20882477,0
1817,18290415,0
1818,12893176,0
1819,12073770,0
1820,11327178,0
1821,15663558,0
1822,12152479,0
1823,13057854,0
1824,9014545,0
1825,13049505,0
1826,18466343,0
1827,15930088,0
1828,18933166,0
1829,10210995,0
1830,11887808,0
1831,16939086,0
1832,18813144,0
1833,15968011,0
1834,11157432,0
1835,14831420,0
1836,16998303,0
1837,22500632,0
1838,20963412,0
1839,19492304,0
1840,20078673,0
1841,19445809,0
1842,12025429,0
1843,18964927,0
1844,14690949,0
1845,4805152,0
1846,8708407,0
1847,8544461,0
1848,17180791,0
1849,23350628,0
1850,18357277,0
1851,4031730,0
1852,16437781,0
1853,20111748,0
1854,14851441,0
1855,9668239,0
1856,16949423,0
1857,13601649,0
1858,17609040,0
1859,15055322,0
1860,15549238,0
1861,7478484,0
1862,20187522,0
1863,14577500,0
1864,12329809,0
1865,16550562,0
1866,22524595,0
1867,23422661,0
1868,18438311,0
1869,15944738,0
1870,12798464,0
1871,8557330,0
1872,16384725,0
1873,14822054,0
1874,11662991,0
1875,13151150,0
1876,15123750,0
1877,13109625,0
1878,12710653,0
1879,7795158,0
1880,13613252,0
1881,12333486,0
1882,10013855,0
1883,11667556,0
1884,17931370,0
1885,17835907,0
1886,14151383,0
1887,9181242,0
1888,13942728,0
1889,12788786,0
1890,15429342,0
1891,16085331,0
1892,15143183,0
1893,11154406,0
1894,12309645,0
1895,16062292,0
1896,9048322,0
1897,17142532,0
1898,15890999,0
1899,11767275,0
1900,11559656,0
1901,10990975,0
1902,6227271,0
1903,15239210,0
1904,12582518,0
1905,16876783,0
1906,18012581,577988
1907,17494095,1035644
1908,12901150,938518
1909,17868753,901164
1910,16220557,1140004
1911,16282859,1203645
1912,18708881,729693
1913,13677831,723469
1914,18910887,884686
1915,16244239,837918
1916,18269154,1340450
1917,21707407,879071
1918,14060764,850632
1919,13512373,1241493
1920,19668726,1300021
1921,21959351,1466638
1922,16390119,1148206
1923,16350332,1959502
1924,15865022,1370627
1925,11327000,650980
1926,17308622,633969
1927,17739553,1022192
1928,17709683,272810
1929,15778167,291671
1930,15088462,621233
1931,12956812,632555
1932,17135345,1221141
1933,13582902,677187
1934,7219251,564892
1935,13929788,298072
1936,12676016,480448
1937,15437266,802790
1938,18276820,602881
